image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.740153,van,bus,False
drive_022,2,4,0.69362,car,car,True
drive_022,3,3,0.773328,car,car,True
drive_022,4,1,0.837799,car,car,True
drive_022,5,2,0.854656,bus,van,False
drive_033,1,1,0.944811,bus,van,False
drive_033,2,7,0.747632,car,car,True
drive_033,3,3,0.713935,car,car,True
drive_033,4,5,0.665726,car,car,True
drive_033,5,6,0.628611,car,car,True
drive_033,6,4,0.598996,car,car,True
drive_033,7,9,0.823052,car,car,True
drive_033,8,2,0.731462,truck,bus,False
drive_033,9,12,0.93938,bus,van,False
drive_033,10,11,0.873136,car,car,True
drive_033,11,8,0.817843,car,car,True
drive_038,1,6,0.83903,car,car,True
drive_038,2,8,0.820482,car,car,True
drive_038,3,2,0.904308,car,car,True
drive_038,4,17,0.887369,car,car,True
drive_038,5,16,0.743392,car,car,True
drive_038,6,9,0.858914,truck,bus,False
drive_038,9,3,0.845486,car,car,True
drive_038,11,15,0.875094,van,truck,False
drive_038,12,7,0.764249,car,car,True
drive_008,1,2,0.954123,car,car,True
drive_008,2,5,0.798899,van,truck,False
drive_008,3,3,0.90492,van,truck,False
drive_008,4,9,0.94182,bus,van,False
drive_008,5,16,0.900962,car,car,True
drive_008,6,12,0.874306,van,truck,False
drive_008,8,11,0.901771,car,car,True
drive_008,9,6,0.837452,car,car,True
drive_008,11,1,0.825244,truck,bus,False
drive_008,12,4,0.943946,car,car,True
drive_008,13,13,0.610742,car,car,True
drive_008,14,7,0.764262,car,car,True
drive_008,15,14,0.79711,car,car,True
drive_008,16,15,0.137884,car,car,True
